,book_title,author,reader_review,rating,label
3727,La Fuite du temps,Lianke Yan,"日光流年, 阎连科. Le temps est à la fois une évidence et un mystère, de nombreux auteurs ont écrit sur ce sujet. Le roman de Yan Lianke raconte l’histoire des habitants du village des Trois Patronymes, perdu dans des montagnes d’une province chinoise. Les habitants doivent lutter pour survivre, mais ils sont tous emportés par la maladie de la gorge obstruée avant l’âge de 40 ans.",4.0,1
1241,Les ombres de Morgat,Françoise La Mer,"Zut, l’heure est grave : je ne me souviens même pas des interventions des enquêteurs dans cette enquête (oui, je suis un peu redondante) tant j’ai plutôt retenu d’autres éléments à cette lecture – et pas forcément dans l’ordre chronologique.",3.0,0
1206,Zulu,Caryl Férey,Zulu commence par une scène violente. Très violente. Qui donne le ton.,4.0,1
3107,Terminal 4,Hervé Jourdain,"Zone de l’aéroport Roissy, la capitaine Lola et la brigadière Zoé interpellent un partisan de Daech quand elles voient les pompiers éteindre un incendie de voitures. Curieuse, Zoé s’approche et son regard tombe sur le corps calciné d’une jeune femme",2.5,-1
958,"Les Rougon-Macquart, tome 10 : Pot-Bouille",Émile Zola,Zola excelle une nouvelle fois à dénoncer l'hypocrisie de la morale bourgeoise.,4.5,1
9340,Au bonheur des dames,Émile Zola,Zola devait être un visionnaire pour ainsi deviner ce qu'allait devenir le monde de la grande consommation par le biais des grandes surfaces.,4.5,1
9575,Germinal,Émile Zola,"Zola a vécu dans le temps des exploitations minières et dans le temps de la création de nouvelles pensées politiques: socialisme, internationale communiste, anarchisme...",5.0,1
7382,My fucking boss,Orlane Peggy,"Zoey vient d'être prise à l'essai dans l'entreprise de Raphael Lockwood afin d'être son assistante personnelle. Les précédentes ne sont pas resté longtemps et vue l'humeur de Mr, Zoey n'est pas sûre de réussir à le satisfaire plus même si elle se plie en quatre pour lui.",5.0,1
8303,La romance presque parfaite d'une accro à Noël,Laura S. Wild,"Zoe, l’héroïne de cette histoire est une fana de Noël. Au point qu’elle en a fait son métier. Depuis 4 ans, elle gère les lutins du père Noel, une entreprise événementielle spécialisée en fêtes de fin d’année. Tellement absorbée par son métier, elle met de côté la famille. Mais cette année, bonne résolution, elle se prend 3 semaines de congé! Mais pas seule, non! Elle se fait accompagner du journaliste Ethen qui lui dresse un portrait pour le Time magazine.",4.0,1
5258,Les 12 travaux d'Hercule,Guy Rachet,"Zeus, sous les traits d'Amphitryon, devient l'amant d'Alcmène qui ne devine pas la supercherie. Elle enfante d'un garçon Alcée qui, devenu adulte, réalisa une série de défis à la demande d'Eurysthée, roi peureux à qui la déesse Héra a soufflé ses désirs. ""Tu abandonneras ton nom d'Alcée pour prendre celui d'Héraclès, gloire d'Héra""(page 144). Ainsi commence la vie d'Hercule...",4.0,1
